X,Y,SUM(Correlation)
InttType,CollNonCRMSecurity,-0.0009876838985597442
InttType,NextOneYrFacStatus,-0.022590595209259955
InttType,OrgCostOfPlantMech,0.009926675789349144
TotalAdv,Age,0.005281979207510777
TotalAdv,CAD,0.6770409061060826
TotalAdv,UsedRv,0.7845840312599219
TotalAdv,Balance,0.791792032628895
TotalAdv,Product,0.03017867139653221
TotalAdv,TotOsNF,0.07289257990596276
TotalAdv,AdhocAmt,0.01657839777114879
TotalAdv,InttRate,0.06486927581261616
TotalAdv,InttType,0.015650271037382504
TotalAdv,TotalAdv,1
TotalAdv,CURQTRINT,0.36036150795917954
TotalAdv,GLProduct,0.00736054422819286
TotalAdv,PRVQTRINT,0.3632270185889412
TotalAdv,RvPrimary,0.017651386906537052
TotalAdv,Unsecured,0.0530331034363445
TotalAdv,CoverGovGur,0.00019684573284652846
TotalAdv,DepValPlant,0.005414019149938384
TotalAdv,ACCTotalProv,0.7534331155499215
TotalAdv,BaselCatMark,0.0049240127421739145
TotalAdv,CURRENTLIMIT,0.6996140831638948
TotalAdv,CurQtrCredit,0.08484778258830168
TotalAdv,DRAWINGPOWER,-0.00016337074921784475
TotalAdv,PREQTRCREDIT,0.0031049108713954933
TotalAdv,UnAdjSubSidy,0.00010131179030767953
TotalAdv,UnappliedInt,0.0016210141174060227
TotalAdv,ProvUnsecured,0.01832249076498554
TotalAdv,TotalWriteOff,-0.00008075237685511648
TotalAdv,AppropriatedRv,0.006723081846935882
TotalAdv,OrgCostOfEquip,0.014713188060891575
TotalAdv,TotLimitFunded,0.6860775772240254
TotalAdv,Cust_AssetClass,-0.0014813635432816925
TotalAdv,LimitSanctioned,0.7202268524449659
TotalAdv,PriCashSecurity,0.0008694597424728197
TotalAdv,CollCashSecurity,0.0029488707093109725
TotalAdv,CollNonCRMSecurity,0.0007645190027183406
TotalAdv,NextOneYrFacStatus,0.006194383031931543
TotalAdv,OrgCostOfPlantMech,0.013388547889600378
CURQTRINT,Age,0.024114052999106253
CURQTRINT,CAD,0.0005573929891267981
CURQTRINT,UsedRv,0.7007539254924199
CURQTRINT,Balance,0.695532392993169
CURQTRINT,Product,0.011205171436593988
CURQTRINT,TotOsNF,0.009941507034304735
CURQTRINT,AdhocAmt,0.030770287073117797
CURQTRINT,InttRate,0.10247502844650101
CURQTRINT,InttType,0.009406546859160635
CURQTRINT,TotalAdv,0.36036150795917954
CURQTRINT,CURQTRINT,1
CURQTRINT,GLProduct,-0.0017790719008840238
CURQTRINT,PRVQTRINT,0.726126086086725
CURQTRINT,RvPrimary,0.0090563202195905
CURQTRINT,Unsecured,0.030643159615616866
CURQTRINT,CoverGovGur,-0.00043682348513195655
CURQTRINT,DepValPlant,0.012845729516267786
CURQTRINT,ACCTotalProv,0.06937730292289424
CURQTRINT,BaselCatMark,-0.035895045620735984
CURQTRINT,CURRENTLIMIT,0.7133713204335597
CURQTRINT,CurQtrCredit,0.20629097639464036
CURQTRINT,DRAWINGPOWER,-0.0003019329526626336
CURQTRINT,PREQTRCREDIT,0.008780474712171894
CURQTRINT,UnAdjSubSidy,0.0010963051277668833
CURQTRINT,UnappliedInt,-0.0016479519844465264
CURQTRINT,ProvUnsecured,-0.001570905509559346
CURQTRINT,TotalWriteOff,-0.0004260453324317457
CURQTRINT,AppropriatedRv,0.007900145518734308
CURQTRINT,OrgCostOfEquip,0.009836411962731372
CURQTRINT,TotLimitFunded,0.6395930102899833
CURQTRINT,Cust_AssetClass,-0.036299032394355696
CURQTRINT,LimitSanctioned,0.7045313007159318
CURQTRINT,PriCashSecurity,0.000968210563112692
CURQTRINT,CollCashSecurity,0.004757395635424213
CURQTRINT,CollNonCRMSecurity,0.0009470700458578671
CURQTRINT,NextOneYrFacStatus,-0.031199203044030916
CURQTRINT,OrgCostOfPlantMech,0.007074575986692743
GLProduct,Age,-0.10035061684956918
GLProduct,CAD,-0.00048613785530209075
GLProduct,UsedRv,0.007305058613780525
GLProduct,Balance,0.006926628346588512
GLProduct,Product,0.7997912065690546
GLProduct,TotOsNF,-0.0007577402433160817
GLProduct,AdhocAmt,0.0005775482845939359
GLProduct,InttRate,0.15950914450358
GLProduct,InttType,0.10127692138820515
GLProduct,TotalAdv,0.00736054422819286
GLProduct,CURQTRINT,-0.0017790719008840238
GLProduct,GLProduct,1
GLProduct,PRVQTRINT,-0.00992688610795039
GLProduct,RvPrimary,-0.0005423277764516093
GLProduct,Unsecured,-0.007729949943631037
GLProduct,CoverGovGur,0.0037880461895887676
GLProduct,DepValPlant,0.00013811978899117206
GLProduct,ACCTotalProv,-0.0009021035447583866
GLProduct,BaselCatMark,0.03217755136917724
GLProduct,CURRENTLIMIT,0.01599694881902053
GLProduct,CurQtrCredit,0.006341721649331829
GLProduct,DRAWINGPOWER,0.00037908220769807585
GLProduct,PREQTRCREDIT,0.00010129074816153099
GLProduct,UnAdjSubSidy,-0.0003590653285273054
GLProduct,UnappliedInt,0.0012627082687402334
GLProduct,ProvUnsecured,0.006812743603211471
GLProduct,TotalWriteOff,0.0016205233577694898
GLProduct,AppropriatedRv,-0.0007251556294356454
GLProduct,OrgCostOfEquip,0.03327893955685666
GLProduct,TotLimitFunded,0.012606274274888125
GLProduct,Cust_AssetClass,0.014437012780200686
GLProduct,LimitSanctioned,0.016113414392267534
GLProduct,PriCashSecurity,0.00030039312982223736
GLProduct,CollCashSecurity,0.0016325326483123408
GLProduct,CollNonCRMSecurity,-0.0009365651864800088
GLProduct,NextOneYrFacStatus,0.049383884509267006
GLProduct,OrgCostOfPlantMech,0.004797652016314858
PRVQTRINT,Age,0.0325174198824468
PRVQTRINT,CAD,0.03313894639674649
PRVQTRINT,UsedRv,0.5959395581991915
PRVQTRINT,Balance,0.5924155456010602
PRVQTRINT,Product,0.0016180418794367218
PRVQTRINT,TotOsNF,0.008526816040176886
PRVQTRINT,AdhocAmt,0.0224795270488463
PRVQTRINT,InttRate,0.12426529849692614
PRVQTRINT,InttType,0.006865115672832054
PRVQTRINT,TotalAdv,0.3632270185889412
PRVQTRINT,CURQTRINT,0.726126086086725
PRVQTRINT,GLProduct,-0.00992688610795039
PRVQTRINT,PRVQTRINT,1
PRVQTRINT,RvPrimary,0.007413739831231525
PRVQTRINT,Unsecured,0.03352514452997786
PRVQTRINT,CoverGovGur,-0.0004218883476254313
PRVQTRINT,DepValPlant,0.005703111933176043
PRVQTRINT,ACCTotalProv,0.1423666146852963
PRVQTRINT,BaselCatMark,0.011550305861908885
PRVQTRINT,CURRENTLIMIT,0.5942669111430947
PRVQTRINT,CurQtrCredit,0.1723421509946308
PRVQTRINT,DRAWINGPOWER,-0.00029442912213471697
PRVQTRINT,PREQTRCREDIT,0.011725045088471947
PRVQTRINT,UnAdjSubSidy,0.0004485974985223539
PRVQTRINT,UnappliedInt,0.013911328639138389
PRVQTRINT,ProvUnsecured,0.016374796765974926
PRVQTRINT,TotalWriteOff,-0.0006337545736840912
PRVQTRINT,AppropriatedRv,0.005792492666297638
PRVQTRINT,OrgCostOfEquip,0.006370544083096572
PRVQTRINT,TotLimitFunded,0.5341891904438031
PRVQTRINT,Cust_AssetClass,0.018734728916636384
PRVQTRINT,LimitSanctioned,0.5950856483400063
PRVQTRINT,PriCashSecurity,0.0004132902056511663
PRVQTRINT,CollCashSecurity,0.0037850993947997394
PRVQTRINT,CollNonCRMSecurity,0.001402311594626911
PRVQTRINT,NextOneYrFacStatus,0.015068724850161783
PRVQTRINT,OrgCostOfPlantMech,0.004685104401476207
RvPrimary,Age,-0.001961959701940122
RvPrimary,CAD,0.011023084007862805
RvPrimary,UsedRv,0.014521884168222749
RvPrimary,Balance,0.014544098725890964
RvPrimary,Product,-0.0010482177967679116
RvPrimary,TotOsNF,0.00023893691264811876
RvPrimary,AdhocAmt,0.0001347453389898334
RvPrimary,InttRate,0.0011588066475002197
RvPrimary,InttType,-0.00004493382576283122
RvPrimary,TotalAdv,0.017651386906537052
RvPrimary,CURQTRINT,0.0090563202195905
RvPrimary,GLProduct,-0.0005423277764516093
RvPrimary,PRVQTRINT,0.007413739831231525
RvPrimary,RvPrimary,1
RvPrimary,Unsecured,0.0016929071518233274
RvPrimary,CoverGovGur,-0.000014909069046663207
RvPrimary,DepValPlant,0.00004668414622743487
RvPrimary,ACCTotalProv,0.013053651846546072
RvPrimary,BaselCatMark,0.0008826063277577387
RvPrimary,CURRENTLIMIT,0.0132237255179511
RvPrimary,CurQtrCredit,0.0018028599560483615
RvPrimary,DRAWINGPOWER,-0.000010332166080076851
RvPrimary,PREQTRCREDIT,0.00007454664949147337
RvPrimary,UnAdjSubSidy,-0.000014811263347725646
RvPrimary,UnappliedInt,-0.00002877518883680525
RvPrimary,ProvUnsecured,-0.0001492386058145941
RvPrimary,TotalWriteOff,-0.000029855625523139967
RvPrimary,AppropriatedRv,0.9207042329110718
RvPrimary,OrgCostOfEquip,0.00004222163870502936
RvPrimary,TotLimitFunded,0.01503403764546409
RvPrimary,Cust_AssetClass,-0.0005024927213531644
RvPrimary,LimitSanctioned,0.013854879388103794
RvPrimary,PriCashSecurity,0.09563795769302776
RvPrimary,CollCashSecurity,0.000024994303350283916
RvPrimary,CollNonCRMSecurity,-0.00002263515677625834
RvPrimary,NextOneYrFacStatus,0.0007262853952078614
RvPrimary,OrgCostOfPlantMech,0.000060005880944120825
Unsecured,Age,0.0006142690921940715
Unsecured,CAD,0.02944908083334635
Unsecured,UsedRv,-0.0068745409155616735
Unsecured,Balance,0.10159699580866619
Unsecured,Product,0.0012761111148497813
Unsecured,TotOsNF,-0.00044747261805137085
Unsecured,AdhocAmt,-0.00044927930931355054
Unsecured,InttRate,0.05662830216054078
Unsecured,InttType,-0.006280882656321681
Unsecured,TotalAdv,0.0530331034363445
Unsecured,CURQTRINT,0.030643159615616866
Unsecured,GLProduct,-0.007729949943631037
Unsecured,PRVQTRINT,0.03352514452997786
Unsecured,RvPrimary,0.0016929071518233274
Unsecured,Unsecured,1
Unsecured,CoverGovGur,0.001856352445359831
Unsecured,DepValPlant,-0.000110708006583332
Unsecured,ACCTotalProv,0.11638458799513539
Unsecured,BaselCatMark,0.015665002802054535
Unsecured,CURRENTLIMIT,0.10477732192395459
Unsecured,CurQtrCredit,0.012145913821632544
Unsecured,DRAWINGPOWER,-0.00019371317835708418
Unsecured,PREQTRCREDIT,0.0003190023271459155
Unsecured,UnAdjSubSidy,-0.00031073979517915715
Unsecured,UnappliedInt,0.013765713931659875
Unsecured,ProvUnsecured,0.37961089229789724
Unsecured,TotalWriteOff,0.007341312040254882
Unsecured,AppropriatedRv,-0.0010066747935756695
Unsecured,OrgCostOfEquip,0.004791104597349017
Unsecured,TotLimitFunded,0.10355167375425896
Unsecured,Cust_AssetClass,0.01645138232307386
Unsecured,LimitSanctioned,0.09270297251508193
Unsecured,PriCashSecurity,-0.0001314799049123237
Unsecured,CollCashSecurity,-0.0006433470618719172
Unsecured,CollNonCRMSecurity,-0.00048136547987603304
Unsecured,NextOneYrFacStatus,0.005732338773295496
Unsecured,OrgCostOfPlantMech,0.0069492165738915986
CoverGovGur,Age,-0.001549246368177525
CoverGovGur,CAD,0.0013745690599774594
CoverGovGur,UsedRv,-0.000348663374272653
CoverGovGur,Balance,0.0005740567741453581
CoverGovGur,Product,0.0028710568252650324
CoverGovGur,TotOsNF,-0.000006698385442601994
CoverGovGur,AdhocAmt,-0.000006583578686516009
CoverGovGur,InttRate,0.003751101144620796
CoverGovGur,InttType,-0.00034738812169542827
CoverGovGur,TotalAdv,0.00019684573284652846
CoverGovGur,CURQTRINT,-0.00043682348513195655
CoverGovGur,GLProduct,0.0037880461895887676
CoverGovGur,PRVQTRINT,-0.0004218883476254313
CoverGovGur,RvPrimary,-0.000014909069046663207
CoverGovGur,Unsecured,0.001856352445359831
CoverGovGur,CoverGovGur,1
CoverGovGur,DepValPlant,-0.000011913751363437753
CoverGovGur,ACCTotalProv,0.0010036367102048182
CoverGovGur,BaselCatMark,0.004119005894386805
CoverGovGur,CURRENTLIMIT,0.0005314028841446629
CoverGovGur,CurQtrCredit,-0.00010168413199047005
CoverGovGur,DRAWINGPOWER,-0.000002838766250341936
CoverGovGur,PREQTRCREDIT,-0.00000784495428845963
CoverGovGur,UnAdjSubSidy,-0.0000048275810870111316
CoverGovGur,UnappliedInt,-0.000015286151094317405
CoverGovGur,ProvUnsecured,0.00564351729849898
CoverGovGur,TotalWriteOff,-0.000010680276688679692
CoverGovGur,AppropriatedRv,-0.00001550986739926453
CoverGovGur,OrgCostOfEquip,-0.0000482321037470495
CoverGovGur,TotLimitFunded,0.0002496948195382674
CoverGovGur,Cust_AssetClass,0.003156725587262096
CoverGovGur,LimitSanctioned,0.0005234021110724859
CoverGovGur,PriCashSecurity,-0.0000033470020571465694
CoverGovGur,CollCashSecurity,-0.000011815896841374888
CoverGovGur,CollNonCRMSecurity,-0.000013286841438493724
CoverGovGur,NextOneYrFacStatus,0.004935079123504326
CoverGovGur,OrgCostOfPlantMech,0.003693530549000298
