ACID,D2D,PD,EAD,LGD,K,RWA,Risk Wt,Res Exp,Provision
103522384_061954023772_2016-03-31,0.0,0.9982,40000.0,0.9436,0.0017,837.0,2.09,230.0,23.0
003373295_019454001046_2016-12-31,3.7,0.1314,44000.0,0.577,0.09,49509.0,112.52,45.0,3.0
114312042_127454031938_2016-06-30,0.1,0.9624,20000.0,0.7764,0.0279,6963.0,34.82,132.0,13.0
114652119_133754031687_2017-03-31,0.4,0.8406,1068516.0,0.7064,0.0959,1281529.0,119.94,1.0,0.0
014029713_034513031067_2015-09-30,0.0,0.9824,50000.0,0.7207,0.0124,7721.0,15.44,44.0,4.0
014029816_034554031082_2017-03-31,0.0,0.9998,50000.0,0.9427,0.0002,108.0,0.22,67.0,7.0
006223447_061154000031_2016-03-31,5.4,0.047,10000.0,0.3583,0.036,4496.0,44.96,199.0,4.0
105714715_061954023801_2016-06-30,0.0,1.0,50000.0,1.0,0.0,17.0,0.03,1.0,0.0
006223470_061154000048_2018-06-30,0.0,0.9998,7669626.0,0.5745,0.0001,13068.0,0.17,0.0,0.0
104044775_084413023805_2016-09-30,1.1,0.5587,25000.0,0.985,0.2681,83784.0,335.13,143.0,14.0
014030592_034554001356_2017-09-30,0.0,0.9946,3669626.0,0.7302,0.0039,178077.0,4.85,1.0,0.0
104044775_084413023805_2015-06-30,0.1,0.963,1673526.0,0.5004,0.0177,369984.0,22.11,1.0,0.0
011533349_034213001011_2015-09-30,0.1,0.9714,24000.0,0.4181,0.0115,3461.0,14.42,66.0,7.0
107856887_148151031192_2015-12-31,0.0,0.9905,48750.0,0.7932,0.0074,4526.0,9.28,35.0,3.0
101210247_034554031164_2016-03-31,0.1,0.9605,800000.0,0.7924,0.0298,298499.0,37.31,1.0,0.0
001777232_068751001216_2015-09-30,0.0,0.9996,50000.0,0.9713,0.0004,257.0,0.51,0.0,0.0
011533387_034254001012_2015-12-31,0.0,0.9968,40000.0,0.9894,0.0031,1567.0,3.92,45.0,4.0
100602705_034654031257_2017-09-30,0.0,0.9998,50000.0,0.9939,0.0002,127.0,0.25,197.0,20.0
011533387_034254001012_2018-03-31,0.0,0.9988,64233.0,0.939,0.0011,879.0,1.37,36.0,4.0
101003805_060351023877_2016-12-31,0.1,0.9746,120000.0,0.9202,0.0226,33872.0,28.23,10.0,1.0
105049698_060351024047_2016-06-30,0.1,0.9714,140000.0,0.8155,0.0225,39371.0,28.12,0.0,0.0
105146791_062254023816_2015-12-31,0.0,0.9996,40000.0,0.7657,0.0003,168.0,0.42,1764.0,176.0
011533408_034254001037_2016-03-31,0.0,0.9979,50000.0,0.9634,0.002,1241.0,2.48,75.0,7.0
014031702_034554001388_2017-06-30,0.0,0.999,1068516.0,0.9868,0.001,13078.0,1.22,27.0,3.0
101500463_034513031032_2016-09-30,0.0,0.9995,1969626.0,0.9648,0.0004,10938.0,0.56,1.0,0.0
011533602_034254001692_2018-06-30,0.0,0.9923,25000.0,0.3597,0.0027,857.0,3.43,1413.0,141.0
101461113_060313024055_2016-09-30,0.3,0.8723,700000.0,0.9343,0.1048,916768.0,130.97,2.0,0.0
011533620_034254001716_2016-03-31,1.3,0.5045,50000.0,0.4804,0.1352,84527.0,169.05,31.0,3.0
115080878_133754031768_2017-03-31,0.1,0.9736,72415.0,0.844,0.0215,19462.0,26.88,18.0,2.0
115108627_133754031777_2015-12-31,0.0,0.9996,25000.0,1.0,0.0004,139.0,0.56,567.0,56.0
101469452_060351023888_2016-06-30,0.7,0.6889,400000.0,0.6508,0.1475,737261.0,184.32,1.0,0.0
011533622_034254001718_2016-09-30,0.0,0.9996,1383125.0,0.906,0.0003,5559.0,0.4,1.0,0.0
009888875_074654031082_2015-09-30,0.0,0.9959,585172.0,0.9623,0.0039,28358.0,4.85,3.0,0.0
105373737_060354024220_2016-09-30,0.7,0.7112,1370366.0,0.5267,0.1136,1945642.0,141.98,2.0,0.0
105373737_060351024057_2017-09-30,0.0,0.9994,40000.0,0.5556,0.0003,164.0,0.41,166.0,17.0
000353919_105013001013_2017-09-30,0.0,0.9926,150000.0,0.6635,0.0049,9109.0,6.07,9.0,1.0
100626576_034654031014_2016-03-31,5.7,0.0385,150000.0,0.9903,0.0943,176749.0,117.83,9.0,0.0
106129205_061151023952_2016-03-31,0.0,0.9996,50000.0,0.9531,0.0003,215.0,0.43,55.0,5.0
106256115_061151024014_2016-09-30,0.0,1.0,17500000.0,0.9848,0.0,1258.0,0.01,0.0,0.0
101889001_060354024038_2016-03-31,0.0,0.9994,300000.0,0.6926,0.0004,1620.0,0.54,4.0,0.0
107718786_109354023790_2017-12-31,0.0,0.9987,140000.0,0.988,0.0013,2204.0,1.57,1.0,0.0
101727950_015951023862_2016-06-30,0.0,0.9998,100000.0,1.0,0.0002,201.0,0.2,17.0,2.0
105577753_062254023824_2018-06-30,1.2,0.5429,75000.0,0.7399,0.2039,191112.0,254.82,1.0,0.0
014033542_034554031150_2018-03-31,0.1,0.9706,75000.0,0.7205,0.0204,19109.0,25.48,18.0,2.0
102130515_060351023912_2015-12-31,0.1,0.9706,75000.0,0.7205,0.0204,19109.0,25.48,18.0,2.0
102130515_060351023912_2016-03-31,0.0,0.9992,50000.0,0.44,0.0004,231.0,0.46,0.0,0.0
102130515_060351023912_2016-03-31,0.0,0.9999,378000.0,0.8795,0.0001,352.0,0.09,4.0,0.0
014034205_034554001384_2015-09-30,0.0,0.9921,27000.0,0.8572,0.0066,2244.0,8.31,83.0,8.0
003419150_015951001157_2016-12-31,0.0,0.989,200000.0,0.9948,0.0108,26959.0,13.48,18.0,2.0
104930518_034654031161_2016-03-31,0.3,0.8717,160000.0,0.2986,0.0336,67209.0,42.01,1.0,0.0
